company_id,slug,company_name,domain,one_line_description,founded_year,hq_country,hq_city,region,total_raised_usd,last_round_date,last_round_stage,last_round_size_usd,headcount,headcount_growth_6mo,vla_classification,vla_evidence_type,vla_evidence_url,vla_evidence_quote,models_used,pain_score,pain_signal_url,pain_signal_quote,pain_summary,spend_tier,spend_rationale,vertical,lockin_status,lockin_evidence_url,openness_score,notes,score,tier
c048,frodobots,FrodoBots,frodobots.com,Sidewalk-rover gaming platform crowdsourcing embodied-AI data,,Singapore,,international,,,,,,,vla_likely,2,https://github.com/frodobots-org,Active earth-rovers-sdk and xr_teleoperate forks,lerobot,0,,,No standard careers URL,c,Crypto-adjacent seed; ~12 person team per public reporting,last_mile_delivery,lockin_open,https://github.com/frodobots-org,2,Singapore startup; gamified data collection; small team,45,2
c079,general-intelligence-labs,General Intelligence Labs,,Stealth perception-action stack; lerobot+openpi forks,,USA,,us_other,,,,,,,vla_likely,2,https://github.com/General-Intelligence-Labs,lerobot fork pushed Jan 2026 and openpi fork pushed Jan 2026,lerobot|openpi,0,,,No website found; only GH org,c,Stealth; 14 repos; no public funding info,humanoid_general,lockin_open,https://github.com/General-Intelligence-Labs,1,Stealth org; only GH presence; recent VLA forks,40,3
c046,general-robotics,General Robotics,generalrobotics.company,GRID unified robot intelligence platform; Accenture-backed,,USA,,us_other,,2026-04,strategic,,,,vla_active,2,https://github.com/GenRobo,Active Isaac-GR00T fork plus DreamControl whole-body humanoid diffusion paper,Isaac-GR00T|custom,0,https://generalrobotics.company/careers,We currently have no open positions,No open reqs at time of check; Accenture investment April 2026,b,Accenture Ventures investment April 2026 (undisclosed); MS Pegasus; substantial team for 13-repo GH org,humanoid_general,lockin_open,https://generalrobotics.company,2,Accenture-backed; GRID orchestration over 40+ robots; not selling own VLA but composing skills,65,2
c040,generative-bionics,Generative Bionics,gbionics.ai,"IIT-spinout humanoid-robotics startup, EUR70M seed",2024,Italy,Genoa,international,75000000,2026,seed,75000000,,,vla_active,2,https://github.com/gbionics,61 public repos; active lerobot fork pushed today plus URDF/yarp tooling,lerobot|custom,1,,Hardware/software stack rooted in iCub ergoCub iRonCub IIT programs,No careers page surfaced but funding signals heavy hiring,a,EUR70M (~$75M) seed in 2026 from CDP Venture Capital AMD Ventures Eni Next Tether; expected scale hiring,humanoid_industrial,lockin_open,https://github.com/gbionics,3,Massive seed; AMD Ventures investor signals GPU/AI compute commitment; HQ likely Genoa per IIT origin,85,1
c027,genesis-ai,Genesis AI,genesis-ai.company,"Generalist physical-AI lab with $105M seed, foundation-model focus",2024,USA,,us_other,105000000,2025-07,seed,105000000,,,vla_active,3,https://github.com/Genesis-Embodied-AI,Genesis simulator and foundation models for robotics control; quadrants compiler,custom,1,https://genesis-ai.company/join-us/,Join Us page exists; team includes ex-Meta Llama HF GPU infra leads,Hiring evident from team composition though specific reqs not exposed,a,$105M seed July 2025 from Eclipse Khosla Bezos Schmidt; co-founders Zhou Xian Theophile Gervet,humanoid_general,lockin_unknown,https://genesis-ai.company,3,Likely build their own infra (ex-HF Nicolas Patry ex-YouTube ML infra Pierre-Yves on team); harder Reflex sale | lockin reclass: ex-FAANG team composition is inferential,79,1
c055,hcltech-robotics,HCLTech Robotics,hcltech.com,HCLTech (large IT services) robotics R&D arm,,India,Noida,international,,,,,,,vla_likely,2,https://github.com/hcltech-robotics,Active forks of trossen_arm star-arm-moveit2 pymycobot pushed 2026,lerobot,0,,,Subdivision of large public IT services co; no separate careers,a,HCLTech is publicly traded ~$13B revenue; 220K+ employees; this is internal R&D,research_only,lockin_unknown,,1,R&D arm of public IT services giant; not a typical Reflex ICP (own infra),54,2
c050,industrialnext,Industrialnext,industrialnext.com,"AI-autopilot for factory automation, YC-backed manufacturing",2021,USA,San Francisco,california,,,,,,,vla_likely,2,https://github.com/industrialnext,40 public repos including active flexiv_ros2 lerobot mujoco_menagerie forks,lerobot,0,,,Marketing site lacks careers link,b,YC-backed; founded by ex-Tesla autopilot lead; mid-stage; first AI workstation shipped mid-2025,mobile_manipulator_other,lockin_open,https://github.com/industrialnext,2,YC manufacturing automation; founded by ex-Tesla autopilot architect,55,2
c059,intbot,IntBot,intbot.ai,"Sunnyvale humanoid service-robot (Nylo) startup, NVIDIA Cosmos based",2024,USA,Sunnyvale,california,,,,,,,vla_active,2,https://github.com/intbotinc,Active TensorRT-Edge-LLM (high-perf VLM/LLM inference) and cosmos-reason2 lerobot forks,lerobot|cosmos,0,,,Site is single line; no careers,c,No disclosed funding; SAIC Capital invested; very early; small team,humanoid_general,lockin_diy,https://github.com/intbotinc,1,Building own TensorRT edge-inference fork - signals DIY infra path,40,3
c074,io-ai-tech,IO-AI Tech,io-ai.tech,Embodied AI humanoid platform with active LeRobot fork,,China,,international,,,,,,,vla_active,2,https://github.com/ioai-tech/lerobot,LeRobot fork active 2025-2026 with humanoid controller and OpenLoong descriptions,lerobot,0,,,No careers signal found from GitHub-only check,c,Small org no funding signal,humanoid_general,lockin_open,https://github.com/ioai-tech,2,Active fork pushed Nov 2025; humanoid_controller and io_eai_simulation repos,55,2
c045,kinesthetiq,KinesthetIQ,kinesthetiq.com,Indian foundation-model robotics shop forking openpi/GR00T,,India,,international,,,,,,,vla_active,2,https://github.com/NavIQLabs,Active forks of openpi gr00t lerobot and Isaac-GR00T pushed 2025-2026,openpi|gr00t|lerobot,0,,,No public careers; small org,c,No funding signal small headcount,research_only,lockin_open,https://github.com/NavIQLabs,1,Multiple active VLA-related forks but tiny org,50,2
c028,lucky-robots,Lucky Robots,luckyrobots.com,Synthetic data and simulation for robotics AI,,USA,,us_other,,,,,,,vla_likely,4,https://github.com/luckyrobots/lerobot,LeRobot fork pushed Feb 2026 plus mujoco mjlab and g1 manipulation challenge,lerobot,0,,,No careers page checked; sim/data focus,c,Small org sim startup,research_only,lockin_open,https://github.com/luckyrobots,2,Active sim/data tooling repos including g1-manipulation-challenge in 2026,45,2
c049,menlo-research,Menlo Research,menlo.ai,Open-source humanoid Asimov DIY kit Singapore lab,,Singapore,Singapore,international,,,,,,,vla_likely,4,https://menlo.ai/products/asimov,Asimov open-source humanoid robot 1.2m 35kg DIY kit,custom,1,,Team roster page exists,DIY humanoid R&D lab with hiring posture,c,No disclosed funding small lab,humanoid_general,lockin_open,https://github.com/menloresearch,2,Singapore + HCMC; Isaac-GR00T fork from June 2025 not most recent,50,2
c076,neurogrip,NeuroGrip,,Solo VLA-fork project for robotic manipulation,,,,,,,,,,,vla_likely,2,https://github.com/NeuroGrip,openvla and TinyVLA forks last pushed 2024-2025,openvla|tinyvla,0,,,No domain or careers signal,c,Tiny project no domain,research_only,lockin_open,https://github.com/NeuroGrip,1,No domain found; appears to be solo or tiny research effort,40,3
c004,niryo-robotics,Niryo Robotics,niryo.com,Educational and industrial six-axis cobots France,2017,France,Lille,international,11000000,2023-10,series_a,11000000,40,,vla_likely,4,https://github.com/NiryoRobotics/lerobot,LeRobot fork pushed October 2025 alongside ned_ros and ned3pro,lerobot,0,,,Education/industrial cobots not deep ML stack,b,~$11M raised 40 employees,mobile_manipulator_other,lockin_open,https://github.com/NiryoRobotics,2,Education-focused cobot maker; LeRobot fork is recent,55,2
c012,phospho,phospho,phospho.ai,YC robotics SDK + low-cost hardware kits France,2023,France,Paris,international,1850000,2024-01,seed,1850000,,,vla_active,2,https://github.com/phospho-app/openpi,Active openpi and openvla forks plus phosphobot for SO-100/SO-101,openpi|openvla|smolvla|pi0|act,1,https://www.ycombinator.com/companies/phospho,YC W24 hiring posture,Small startup with active VLA forks and SDK product,c,~$1.85M YC seed small team,research_only,lockin_open,https://github.com/phospho-app,3,Strong open-source posture multiple VLA forks YC W24 robotics SDK,65,2
c003,pollen-robotics,Pollen Robotics,pollen-robotics.com,Open-source Reachy humanoid acquired by Hugging Face April 2025,2016,France,Bordeaux,international,,2025-04,acquired,,,,vla_active,2,https://github.com/pollen-robotics/lerobot,LeRobot End-to-end Learning for Real-World Robotics,lerobot|smolvla,0,,,Now part of Hugging Face open-source posture,b,Acquired by HF undisclosed price; small team,humanoid_general,lockin_open,https://huggingface.co/blog/hugging-face-pollen-robotics-acquisition,3,Acquired by Hugging Face April 2025; Reachy 2 sells at $70K,70,1
c039,positronic-robotics,Positronic Robotics,positronic.ro,Python-native robotics ML stack with active VLA forks,,,,,,,,,,,vla_active,2,https://github.com/Positronic-Robotics/openpi,Active openpi gr00t and positronic-franka forks pushed 2026,openpi|gr00t,0,,,Small dev shop no careers signal,c,No funding signal,research_only,lockin_open,https://github.com/Positronic-Robotics,2,Active 2026 openpi and Isaac-GR00T forks Python-native stack,55,2
c071,qrafty-ai,Qrafty AI,qrafty-ai.com,US LeRobot integrator small team teleop and openarm,,USA,,us_other,,,,,,,vla_active,2,https://github.com/qrafty-ai/lerobot,LeRobot fork pushed April 2026 with openarm and teleop_xr repos,lerobot,0,,,No careers signal small team,c,No funding signal,research_only,lockin_open,https://github.com/qrafty-ai,2,Active 2026 LeRobot teleop and openarm work,55,2
c014,rlwrld,RLWRLD,rlwrld.ai,Korean industrial robotics foundation model startup,,South Korea,Seoul,international,41000000,2026-02,seed_2,26000000,,,vla_active,2,https://github.com/RLWRLD,Active LeRobot Isaac-GR00T-no-lfs Triton-server VisionProTeleop forks 2025,lerobot|gr00t|pi0,2,https://github.com/RLWRLD/launch-list,Triton-server fork suggests inference deployment work,Active foundation-model build with own Triton fork,b,$41M total seed funding industrial focus,humanoid_industrial,lockin_diy,https://github.com/RLWRLD,3,Strong fit: industrial VLA foundation model $41M raised forking Triton,72,2
c002,robotec-ai,Robotec.ai,robotec.ai,Polish ROS2 simulation and digital-twin services firm,2019,Poland,Warsaw,international,358000,2020-01,grant,358000,75,,vla_likely,2,https://github.com/RobotecAI/openvla,OpenVLA fork plus rai-agriculture-demo for Physical AI framework,openvla,1,https://www.robotec.ai/careers,Careers page lists open roles,Services co with VLA exposure but mostly sim work,b,75 employees services revenue,research_only,lockin_open,https://github.com/RobotecAI,2,Services company sim/digital-twin with light VLA experimentation,60,2
c037,satinav-robotics,SatiNav Robotics,satinavrobotics.com,Hungarian outdoor mobile robotics modular stack,,Hungary,,international,,,,,,,vla_active,2,https://github.com/satinavrobotics/openpi,openpi (satipi) fork plus MASt3R-SLAM and BiSeNet forks,openpi,0,,,Small org no careers signal,c,No funding signal,mobile_manipulator_other,lockin_open,https://github.com/satinavrobotics,2,Active openpi fork and SLAM forks 2025-2026,55,2
c070,servo-develop-fashion-star,Servo Develop / Fashion Star,fashionrobo.com,Chinese servo vendor pivoting to LeRobot kits,,China,,international,,,,,,,vla_active,2,https://github.com/servodevelop/lerobot,Multiple LeRobot bimanual viola/cello/violin kit repos pushed 2025,lerobot,0,,,Hardware vendor commerce model,c,Small servo distributor,research_only,lockin_open,https://github.com/servodevelop,2,Servo vendor with LeRobot starter-kit ecosystem,55,2
c047,solo-tech,Solo Tech,getsolo.tech,Privacy-first on-device robot intelligence platform,,USA,,us_other,,,,,,,vla_active,2,https://github.com/GetSoloTech/solo-robotics,SmolVLA ACT PI0 TDMPC support compatible with LeRobot HF,smolvla|act|pi0|tdmpc,0,,,Small startup no careers list visible,c,No funding signal,research_only,lockin_open,https://github.com/GetSoloTech,2,Multi-VLA support but on-device-first reduces cloud-inference fit,55,2
c038,spes-robotics,Spes Robotics,spes.ai,Belgrade R&D shop for cobots and AMRs,2021,Serbia,Belgrade,international,,,,,10,,vla_likely,2,https://github.com/SpesRobotics/lerobot,LeRobot fork plus lerobot-robot-xarm pushed 2026,lerobot,0,,,Tiny services R&D firm,c,2-10 employees no funding,mobile_manipulator_other,lockin_open,https://github.com/SpesRobotics,2,Services firm not foundation-model buyer,45,2
c066,teamgrit,TeamGRIT,teamgrit.kr,Korean teleop and quadruped challenges firm,,South Korea,Seoul,international,,,,,,,vla_likely,2,https://github.com/teamgrit-lab/tg-lerobot,LeRobot fork (tg-lerobot) plus teleop device repos,lerobot,0,,,Niche teleop hardware/services,c,No funding signal,research_only,lockin_open,https://github.com/teamgrit-lab,1,Teleop devices and quadruped challenges ICRA 2025,40,3
c056,tii,TII,tii.ae,"UAE government AI research institute, openvla fork",2020,UAE,Abu Dhabi,international,,,,,,,vla_active,2,https://github.com/tiiuae/openvla-internal,OpenVLA an open-source vision-language-action model for robotic manipulation,openvla,1,https://github.com/tiiuae,Falcon-Perception multimodal early-fusion model active org,Government research lab actively forking OpenVLA and building Falcon multimodal models.,a,Sovereign-backed UAE research institute with massive compute budget and broad ML stack.,research_only,lockin_diy,https://github.com/tiiuae,3,Sovereign research; not a typical commercial buyer,75,2
c013,tommoro-robotics,Tommoro Robotics,tommoro.ai,Korean humanoid foundation-model spinout from SNU,2024,South Korea,Seoul,international,,,,,,,vla_active,2,https://github.com/Tommoro-AI,NVIDIA Isaac GR00T N1.5 fork humanoid foundation model,gr00t|custom,1,https://github.com/Tommoro-AI,Active Habilis-beta and Isaac-GR00T forks,SNU spinout actively building HABILIS RFM on GR00T base.,c,Early-stage SNU spinout; funding undisclosed; small team.,humanoid_general,lockin_diy,https://github.com/Tommoro-AI,2,K-Humanoid Alliance member; CEO Byoung-Tak Zhang,50,2
c044,transistor-robotics,Transistor Robotics,,Japanese humanoid AI fork of openpi for VLA training,,Japan,,international,,,,,,,vla_active,2,https://github.com/transistor-robotics/openpi,TR fork of OpenPi for Pi VLA training,pi0,0,https://github.com/transistor-robotics,Active openpi fork April 2026,Active openpi fork suggests in-house Pi-style VLA training.,c,Tiny org; only 2 public repos; no funding signal.,humanoid_general,lockin_diy,https://github.com/transistor-robotics,1,No website found; minimal public footprint,40,3
